timestamp,latitude,longitude,stop_name
0,40.40499,-3.70202,
1,40.40503,-3.702,
2,40.4052,-3.70197,
3,40.40524,-3.70183,
4,40.40527,-3.70169,
5,40.40548,-3.70096,
6,40.40549,-3.70093,
7,40.40555,-3.7007,
8,40.4057,-3.70017,
9,40.40573,-3.70006,
10,40.40581,-3.69975,
11,40.40585,-3.69959,
12,40.40586,-3.69957,
13,40.40591,-3.69938,
14,40.40595,-3.69923,
15,40.40619,-3.69839,
16,40.40628,-3.69804,
17,40.40633,-3.69788,
18,40.40621,-3.6978,
19,40.40617,-3.69777,
20,40.406,-3.69767,
21,40.40584,-3.69757,
22,40.40552,-3.69736,
23,40.40551,-3.69736,
24,40.4054,-3.69729,
25,40.40535,-3.69726,
26,40.40524,-3.69718,
27,40.40511,-3.6971,
28,40.40462,-3.6968,
29,40.4043,-3.69659,
30,40.40424,-3.69653,
31,40.40421,-3.69647,
32,40.40418,-3.69639,
33,40.40429,-3.69628,
34,40.40427,-3.69615,
35,40.40425,-3.69583,
36,40.40424,-3.69579,
37,40.40424,-3.69573,
38,40.40424,-3.69564,
39,40.40421,-3.69514,
40,40.4042,-3.69477,
41,40.40419,-3.69453,
42,40.40417,-3.69429,
43,40.40415,-3.69381,
44,40.40414,-3.69357,
45,40.40427,-3.69356,
46,40.40468,-3.69353,
47,40.40508,-3.69348,
48,40.40527,-3.69346,
49,40.4054,-3.69344,
50,40.40564,-3.69341,
51,40.40567,-3.69341,
52,40.40621,-3.69335,
53,40.40661,-3.6933,
54,40.40694,-3.69326,
55,40.40704,-3.69324,
56,40.40711,-3.69322,
57,40.40718,-3.69322,
58,40.40721,-3.69321,
59,40.40723,-3.6932,
60,40.40726,-3.69319,
61,40.40729,-3.69317,
62,40.40737,-3.69311,
63,40.40744,-3.69306,
64,40.40757,-3.69296,
65,40.40762,-3.69291,
66,40.40771,-3.69284,
67,40.40776,-3.69279,
68,40.40794,-3.69263,
69,40.408,-3.69257,
70,40.40814,-3.69245,
71,40.40818,-3.69241,
72,40.40822,-3.69236,
73,40.40826,-3.69231,
74,40.40829,-3.69226,
75,40.40831,-3.6922,
76,40.40839,-3.69199,
77,40.40839,-3.69196,
78,40.4084,-3.69192,
79,40.4084,-3.69189,
80,40.40841,-3.69186,
81,40.40843,-3.69182,
82,40.40844,-3.69179,
83,40.40846,-3.69177,
84,40.40847,-3.69174,
85,40.40854,-3.69167,
86,40.40858,-3.69164,
87,40.40862,-3.69162,
88,40.40865,-3.69161,
89,40.40866,-3.69161,
90,40.4087,-3.69161,
91,40.40875,-3.69161,
92,40.40879,-3.69163,
93,40.40883,-3.69164,
94,40.40885,-3.69166,
95,40.40887,-3.69168,
96,40.4089,-3.69171,
97,40.40894,-3.69176,
98,40.40911,-3.69187,
99,40.40917,-3.69191,
100,40.40938,-3.69203,
101,40.40957,-3.69213,
102,40.40963,-3.69216,
103,40.40979,-3.69223,
104,40.4099,-3.69228,
105,40.41001,-3.69232,
106,40.41011,-3.69234,
107,40.41025,-3.69237,
108,40.41038,-3.6924,
109,40.41048,-3.69242,
110,40.41063,-3.69245,
111,40.41091,-3.69252,
112,40.41119,-3.69259,
113,40.41149,-3.69264,
114,40.41155,-3.69266,
115,40.4122,-3.6928,
116,40.4123,-3.69282,
117,40.41254,-3.69287,
118,40.41282,-3.69292,
119,40.4132,-3.69301,
120,40.4134,-3.69306,
121,40.41364,-3.69311,
122,40.41367,-3.69312,
123,40.41376,-3.69314,
124,40.41416,-3.69323,
125,40.41469,-3.69336,
126,40.41513,-3.69348,
127,40.41531,-3.69353,
128,40.41535,-3.69354,
129,40.41579,-3.69363,
130,40.41582,-3.69365,
131,40.41583,-3.69366,
132,40.41584,-3.69366,
133,40.41588,-3.69366,
134,40.4159,-3.69366,
135,40.41592,-3.69366,
136,40.416,-3.69366,
137,40.41648,-3.69357,
138,40.41659,-3.69355,
139,40.41699,-3.69347,
140,40.41717,-3.69343,
141,40.41736,-3.69339,
142,40.41827,-3.6932,
143,40.4186,-3.69312,
144,40.41864,-3.69311,
145,40.41871,-3.69309,
146,40.41905,-3.69289,
147,40.41922,-3.6928,
148,40.41931,-3.69258,
149,40.41936,-3.69255,
150,40.41942,-3.69253,
151,40.41957,-3.69249,
152,40.4198,-3.69242,
153,40.41984,-3.6924,
154,40.41989,-3.69239,
155,40.42006,-3.69231,
156,40.42023,-3.69223,
157,40.42041,-3.69215,
158,40.42048,-3.69211,
159,40.42086,-3.69194,
160,40.42118,-3.69183,
161,40.42137,-3.69174,
162,40.42148,-3.69169,
163,40.42215,-3.69138,
164,40.42238,-3.69127,
165,40.42292,-3.69103,
166,40.42313,-3.69094,
167,40.42341,-3.69083,
168,40.42347,-3.69081,
169,40.42375,-3.69068,
170,40.4243,-3.69044,
171,40.42458,-3.69031,
172,40.42498,-3.69015,
173,40.42514,-3.69008,
174,40.42535,-3.69,
175,40.4254,-3.68999,
176,40.42544,-3.68997,
177,40.42547,-3.68996,
178,40.42553,-3.68995,
179,40.42561,-3.68993,
180,40.42585,-3.68987,
181,40.4259,-3.68985,
182,40.42606,-3.68981,
183,40.42635,-3.68974,
184,40.42638,-3.68974,
185,40.42663,-3.68968,
186,40.42798,-3.68931,
187,40.42872,-3.68912,
188,40.42937,-3.68894,
189,40.42996,-3.68879,
190,40.43017,-3.68873,
191,40.43055,-3.68864,
192,40.4309,-3.68855,
193,40.43123,-3.68848,
194,40.43176,-3.68834,
195,40.43195,-3.68829,
196,40.43231,-3.68819,
197,40.43269,-3.68809,
198,40.43281,-3.68806,
199,40.43294,-3.68802,
200,40.43298,-3.68801,
201,40.43302,-3.68801,
202,40.43305,-3.688,
203,40.43308,-3.688,
204,40.43312,-3.688,
205,40.43317,-3.68801,
206,40.43346,-3.68806,
207,40.43354,-3.68808,
208,40.43382,-3.68813,
209,40.43407,-3.68819,
210,40.43416,-3.6882,
211,40.43418,-3.68821,
212,40.43442,-3.68824,
213,40.43459,-3.68827,
214,40.43468,-3.68828,
215,40.43474,-3.68827,
216,40.4348,-3.68827,
217,40.43484,-3.68825,
218,40.43495,-3.68819,
219,40.43505,-3.68815,
220,40.43515,-3.68813,
221,40.43523,-3.68813,
222,40.43531,-3.68813,
223,40.43538,-3.68815,
224,40.43547,-3.6882,
225,40.4355,-3.68822,
226,40.43559,-3.68825,
227,40.43566,-3.68832,
228,40.43572,-3.6884,
229,40.43581,-3.68862,
230,40.43584,-3.68871,
231,40.43585,-3.68874,
232,40.43587,-3.68877,
233,40.43588,-3.68878,
234,40.43589,-3.68879,
235,40.43593,-3.68881,
236,40.43597,-3.68885,
237,40.43627,-3.68906,
238,40.43654,-3.68924,
239,40.43736,-3.68982,
240,40.43752,-3.68993,
241,40.43765,-3.69001,
242,40.43781,-3.69011,
243,40.43791,-3.69018,
244,40.43803,-3.6902,
245,40.43827,-3.69031,
246,40.43838,-3.69036,
247,40.4384,-3.69037,
248,40.43846,-3.69039,
249,40.43848,-3.6904,
250,40.43857,-3.69045,
251,40.43867,-3.69049,
252,40.43886,-3.69057,
253,40.4393,-3.69073,
254,40.43961,-3.69083,
255,40.43997,-3.69096,
256,40.44014,-3.69102,
257,40.44024,-3.69106,
258,40.44041,-3.69112,
259,40.4407,-3.69122,
260,40.44083,-3.69126,
261,40.44084,-3.69126,
262,40.44089,-3.69127,
263,40.44094,-3.69128,
264,40.44103,-3.69129,
265,40.44107,-3.69129,
266,40.44112,-3.69129,
267,40.4412,-3.69129,
268,40.4414,-3.69129,
269,40.44152,-3.69128,
270,40.44181,-3.69126,
271,40.44205,-3.69124,
272,40.44221,-3.69123,
273,40.44261,-3.69119,
274,40.44311,-3.69115,
275,40.44345,-3.69111,
276,40.44365,-3.69108,
277,40.44385,-3.69106,
278,40.44387,-3.69106,
279,40.44438,-3.691,
280,40.44496,-3.69095,
281,40.44504,-3.69094,
282,40.44522,-3.69091,
283,40.44539,-3.69089,
284,40.44555,-3.69088,
285,40.44573,-3.69087,
286,40.44591,-3.69085,
287,40.44608,-3.69084,
288,40.44629,-3.69077,
289,40.44637,-3.69096,
290,40.44639,-3.69111,
291,40.4465,-3.69113,
292,40.44654,-3.69113,
293,40.4466,-3.69113,
294,40.44665,-3.69113,
295,40.44676,-3.69112,
296,40.4469,-3.6911,
297,40.44735,-3.69107,
298,40.44745,-3.69106,
299,40.44802,-3.691,
300,40.44836,-3.69096,
301,40.4486,-3.69094,
302,40.4491,-3.69091,
303,40.44923,-3.69089,
304,40.44947,-3.69087,
305,40.44959,-3.69086,
306,40.44995,-3.69082,
307,40.4503,-3.69079,
308,40.45067,-3.69076,
309,40.45108,-3.69072,
310,40.45133,-3.6907,
311,40.45165,-3.69066,
312,40.45183,-3.69064,
313,40.45201,-3.69063,
314,40.45256,-3.69057,
315,40.45276,-3.69055,
316,40.45298,-3.69054,
317,40.45329,-3.69051,
318,40.45346,-3.69049,
319,40.45382,-3.69046,
320,40.45418,-3.69041,
321,40.45428,-3.6904,
322,40.45441,-3.69039,
323,40.45491,-3.69035,
324,40.45532,-3.69031,
325,40.4558,-3.69026,
326,40.45649,-3.69019,
327,40.45685,-3.69016,
328,40.45754,-3.69009,
329,40.45807,-3.69004,
330,40.45822,-3.69003,
331,40.45858,-3.68999,
332,40.45948,-3.6899,
333,40.46058,-3.68979,
334,40.46153,-3.6897,
335,40.462,-3.68966,
336,40.46247,-3.68961,
337,40.46256,-3.6896,
338,40.46263,-3.68959,
339,40.46291,-3.68957,
340,40.46293,-3.68949,
341,40.46294,-3.68948,
342,40.46295,-3.68946,
343,40.46297,-3.68944,
344,40.46298,-3.68943,
