timestamp,latitude,longitude,stop_name
0,40.48668,-3.69868,
1,40.4871,-3.69868,
2,40.48722,-3.69868,
3,40.4872,-3.69892,
4,40.4872,-3.69894,
5,40.48719,-3.69901,
6,40.48717,-3.69909,
7,40.48715,-3.69917,
8,40.48711,-3.69926,
9,40.48707,-3.69935,
10,40.48702,-3.69945,
11,40.48699,-3.69951,
12,40.48695,-3.69958,
13,40.48693,-3.69963,
14,40.48685,-3.69982,
15,40.48667,-3.70019,
16,40.48663,-3.70029,
17,40.48638,-3.70086,
18,40.48633,-3.70097,
19,40.48611,-3.70148,
20,40.48607,-3.70157,
21,40.48602,-3.70169,
22,40.48591,-3.70194,
23,40.48575,-3.70231,
24,40.48563,-3.70259,
25,40.48551,-3.70288,
26,40.48531,-3.70343,
27,40.48528,-3.7035,
28,40.48528,-3.70353,
29,40.48527,-3.70356,
30,40.48511,-3.70346,
31,40.48473,-3.70322,
32,40.48466,-3.70318,
33,40.48446,-3.70306,
34,40.48445,-3.70305,
35,40.48413,-3.70287,
36,40.48427,-3.7025,
37,40.48429,-3.70245,
38,40.48436,-3.70225,
39,40.48446,-3.70201,
40,40.48463,-3.70159,
41,40.48473,-3.70135,
42,40.48489,-3.70098,
43,40.48497,-3.7008,
44,40.48501,-3.70072,
45,40.48504,-3.70064,
46,40.48512,-3.70047,
47,40.48508,-3.70043,
48,40.48489,-3.70029,
49,40.48484,-3.70025,
50,40.48455,-3.70003,
51,40.48431,-3.69985,
52,40.48424,-3.6998,
53,40.48417,-3.6998,
54,40.48402,-3.6997,
55,40.484,-3.69971,
56,40.48399,-3.69972,
57,40.48398,-3.69974,
58,40.48396,-3.69974,
59,40.48395,-3.69975,
60,40.48393,-3.69976,
61,40.48392,-3.69976,
62,40.4839,-3.69976,
63,40.48388,-3.69977,
64,40.48386,-3.69976,
65,40.48384,-3.69976,
66,40.48383,-3.69975,
67,40.48382,-3.69975,
68,40.48381,-3.69974,
69,40.48379,-3.69973,
70,40.48378,-3.69972,
71,40.48377,-3.69971,
72,40.48376,-3.6997,
73,40.48375,-3.69969,
74,40.48374,-3.69967,
75,40.48373,-3.69966,
76,40.48372,-3.69964,
77,40.48371,-3.69962,
78,40.48371,-3.6996,
79,40.4837,-3.69958,
80,40.4837,-3.69956,
81,40.4837,-3.69954,
82,40.4837,-3.69951,
83,40.4837,-3.69949,
84,40.4837,-3.69948,
85,40.4837,-3.69947,
86,40.4837,-3.69946,
87,40.4837,-3.69945,
88,40.4837,-3.69944,
89,40.48371,-3.69943,
90,40.48358,-3.69933,
91,40.48354,-3.69924,
92,40.48338,-3.69911,
93,40.48325,-3.69901,
94,40.48316,-3.69894,
95,40.48314,-3.69892,
96,40.48308,-3.69908,
97,40.48306,-3.69913,
98,40.48295,-3.69944,
99,40.48293,-3.69949,
100,40.48284,-3.69973,
101,40.48276,-3.69994,
102,40.4826,-3.70036,
103,40.48252,-3.70058,
104,40.48247,-3.70071,
105,40.48235,-3.70104,
106,40.48229,-3.70119,
107,40.48219,-3.70147,
108,40.48214,-3.70162,
109,40.48204,-3.70189,
110,40.48191,-3.70222,
111,40.48182,-3.70247,
112,40.4818,-3.70253,
113,40.48175,-3.70267,
114,40.48161,-3.70305,
115,40.4815,-3.70334,
116,40.48111,-3.7032,
117,40.48085,-3.7031,
118,40.48075,-3.70307,
119,40.47997,-3.70279,
120,40.47973,-3.70271,
121,40.47969,-3.70293,
122,40.47961,-3.70329,
123,40.47954,-3.70362,
124,40.47952,-3.70374,
125,40.47951,-3.70382,
126,40.47949,-3.70395,
127,40.47941,-3.70454,
128,40.47939,-3.70469,
129,40.47936,-3.70482,
130,40.47931,-3.70509,
131,40.47928,-3.70523,
132,40.47928,-3.70525,
133,40.4792,-3.70565,
134,40.47915,-3.70584,
135,40.47912,-3.70601,
136,40.4791,-3.70609,
137,40.47906,-3.70624,
138,40.47898,-3.70662,
139,40.47897,-3.70668,
140,40.47889,-3.70704,
141,40.47883,-3.70735,
142,40.47878,-3.70757,
143,40.47877,-3.70761,
144,40.4787,-3.70795,
145,40.47861,-3.70835,
146,40.47857,-3.70849,
147,40.47855,-3.70862,
148,40.47853,-3.70869,
149,40.47852,-3.70874,
150,40.47847,-3.70901,
151,40.47844,-3.70913,
152,40.47842,-3.70925,
153,40.47838,-3.70945,
154,40.47832,-3.70971,
155,40.47828,-3.70991,
156,40.47825,-3.71001,
157,40.47822,-3.71017,
158,40.47799,-3.71132,
159,40.47792,-3.71159,
160,40.4778,-3.71213,
161,40.47792,-3.71218,
162,40.47804,-3.71222,
163,40.4781,-3.71224,
164,40.47821,-3.71228,
165,40.47853,-3.71239,
166,40.4791,-3.7126,
167,40.47922,-3.71264,
168,40.47949,-3.71273,
169,40.47964,-3.71269,
170,40.47972,-3.71262,
171,40.47982,-3.71253,
172,40.47985,-3.7125,
173,40.47989,-3.71247,
174,40.4799,-3.71245,
175,40.47992,-3.71244,
176,40.47996,-3.71242,
177,40.48019,-3.71253,
178,40.48033,-3.71259,
179,40.48043,-3.71264,
180,40.4807,-3.71279,
181,40.48078,-3.71283,
182,40.48079,-3.71294,
183,40.4808,-3.71297,
184,40.48081,-3.71302,
185,40.48081,-3.71306,
186,40.48081,-3.71307,
187,40.48081,-3.71311,
188,40.4808,-3.71316,
189,40.4808,-3.71318,
190,40.48078,-3.71322,
