timestamp,latitude,longitude,stop_name
0,40.49538,-3.72552,
1,40.49537,-3.72553,
2,40.49534,-3.72556,
3,40.4953,-3.72562,
4,40.49516,-3.72577,
5,40.49515,-3.72579,
6,40.49513,-3.7258,
7,40.49511,-3.72581,
8,40.49509,-3.72581,
9,40.49506,-3.7258,
10,40.49504,-3.72579,
11,40.49501,-3.72577,
12,40.49499,-3.72574,
13,40.49494,-3.72566,
14,40.49467,-3.72597,
15,40.49425,-3.72643,
16,40.49419,-3.72649,
17,40.49409,-3.72669,
18,40.4941,-3.7267,
19,40.4941,-3.72672,
20,40.4941,-3.72673,
21,40.4941,-3.72674,
22,40.4941,-3.72675,
23,40.4941,-3.72676,
24,40.4941,-3.72678,
25,40.49409,-3.72679,
26,40.49409,-3.7268,
27,40.49409,-3.72681,
28,40.49408,-3.72682,
29,40.49408,-3.72683,
30,40.49408,-3.72684,
31,40.49407,-3.72685,
32,40.49406,-3.72686,
33,40.49406,-3.72687,
34,40.49405,-3.72688,
35,40.49404,-3.72689,
36,40.49403,-3.7269,
37,40.49402,-3.72691,
38,40.49401,-3.72691,
39,40.494,-3.72692,
40,40.49399,-3.72692,
41,40.49398,-3.72692,
42,40.49397,-3.72693,
43,40.49396,-3.72693,
44,40.49395,-3.72693,
45,40.49394,-3.72693,
46,40.49393,-3.72692,
47,40.49392,-3.72692,
48,40.49391,-3.72692,
49,40.4939,-3.72691,
50,40.49389,-3.7269,
51,40.49388,-3.7269,
52,40.49387,-3.72689,
53,40.49386,-3.72688,
54,40.49386,-3.72687,
55,40.49385,-3.72687,
56,40.49384,-3.72686,
57,40.49384,-3.72685,
58,40.49383,-3.72684,
59,40.49383,-3.72683,
60,40.49382,-3.72682,
61,40.49382,-3.7268,
62,40.49382,-3.72678,
63,40.49381,-3.72676,
64,40.49381,-3.72675,
65,40.49381,-3.72671,
66,40.49381,-3.7267,
67,40.49382,-3.72669,
68,40.49382,-3.72667,
69,40.49382,-3.72666,
70,40.49383,-3.72665,
71,40.49383,-3.72664,
72,40.49384,-3.72663,
73,40.49384,-3.72662,
74,40.49382,-3.72658,
75,40.4938,-3.72656,
76,40.49379,-3.72653,
77,40.49377,-3.72645,
78,40.4932,-3.72557,
79,40.49307,-3.72537,
80,40.49295,-3.72519,
81,40.49294,-3.7252,
82,40.49292,-3.72522,
83,40.49289,-3.72524,
84,40.49286,-3.72526,
85,40.49284,-3.72527,
86,40.49281,-3.72527,
87,40.49278,-3.72527,
88,40.49275,-3.72527,
89,40.49272,-3.72526,
90,40.49269,-3.72525,
91,40.49267,-3.72523,
92,40.49264,-3.72521,
93,40.49263,-3.7252,
94,40.49261,-3.72518,
95,40.4926,-3.72517,
96,40.49259,-3.72515,
97,40.49258,-3.72513,
98,40.49257,-3.72511,
99,40.49256,-3.72509,
100,40.49255,-3.72507,
101,40.49254,-3.72502,
102,40.49253,-3.72498,
103,40.49253,-3.72494,
104,40.49253,-3.72492,
105,40.49253,-3.7249,
106,40.49254,-3.72486,
107,40.49254,-3.72482,
108,40.49256,-3.72479,
109,40.49257,-3.72475,
110,40.49259,-3.72472,
111,40.4926,-3.72469,
112,40.49262,-3.72467,
113,40.4925,-3.72448,
114,40.49219,-3.72401,
115,40.49212,-3.72397,
116,40.49197,-3.72383,
117,40.49193,-3.72379,
118,40.4919,-3.7238,
119,40.49187,-3.72381,
120,40.49184,-3.72381,
121,40.49181,-3.7238,
122,40.49176,-3.72379,
123,40.49173,-3.72378,
124,40.49171,-3.72376,
125,40.4917,-3.72374,
126,40.49168,-3.72372,
127,40.49166,-3.72369,
128,40.49165,-3.72367,
129,40.49164,-3.72364,
130,40.49163,-3.72361,
131,40.49163,-3.72359,
132,40.49162,-3.72358,
133,40.49162,-3.72355,
134,40.49161,-3.72352,
135,40.49161,-3.72349,
136,40.49161,-3.72346,
137,40.49162,-3.72343,
138,40.49162,-3.7234,
139,40.49163,-3.72337,
140,40.49164,-3.72335,
141,40.49165,-3.72334,
142,40.49166,-3.72332,
143,40.49167,-3.7233,
144,40.49169,-3.72328,
145,40.49171,-3.72325,
146,40.49173,-3.72323,
147,40.49174,-3.72323,
