timestamp,latitude,longitude,stop_name
0,40.37598,-3.65739,
1,40.37601,-3.65747,
2,40.37602,-3.65752,
3,40.37602,-3.65755,
4,40.37602,-3.65758,
5,40.37602,-3.65759,
6,40.37601,-3.6576,
7,40.37601,-3.65761,
8,40.376,-3.65762,
9,40.376,-3.65763,
10,40.37599,-3.65763,
11,40.37598,-3.65764,
12,40.37595,-3.65766,
13,40.37595,-3.65767,
14,40.37591,-3.65769,
15,40.3759,-3.65769,
16,40.37589,-3.65769,
17,40.37588,-3.6577,
18,40.37575,-3.65729,
19,40.37563,-3.6569,
20,40.3756,-3.6568,
21,40.37554,-3.65661,
22,40.37552,-3.65658,
23,40.37551,-3.65654,
24,40.3755,-3.65652,
25,40.37549,-3.65648,
26,40.37546,-3.65637,
27,40.3754,-3.65621,
28,40.37534,-3.65601,
29,40.3753,-3.65588,
30,40.37527,-3.6558,
31,40.37526,-3.65577,
32,40.37524,-3.65571,
33,40.37522,-3.65568,
34,40.37522,-3.65567,
35,40.37521,-3.65567,
36,40.37521,-3.65565,
37,40.37518,-3.65562,
38,40.37518,-3.65561,
39,40.37516,-3.6556,
40,40.37513,-3.65556,
41,40.37511,-3.65554,
42,40.37509,-3.65553,
43,40.37504,-3.6555,
44,40.37502,-3.65549,
45,40.37499,-3.65549,
46,40.37497,-3.65548,
47,40.3749,-3.65551,
48,40.37487,-3.65553,
49,40.37481,-3.65558,
50,40.37481,-3.65559,
51,40.37481,-3.65561,
52,40.37481,-3.65563,
53,40.37481,-3.65567,
54,40.37482,-3.65573,
55,40.37482,-3.65574,
56,40.37483,-3.65576,
57,40.37484,-3.65581,
58,40.3749,-3.65597,
59,40.37504,-3.65638,
60,40.37505,-3.65641,
61,40.37521,-3.65691,
62,40.37498,-3.65704,
63,40.37485,-3.65711,
64,40.37437,-3.65739,
65,40.37424,-3.65746,
66,40.37402,-3.65759,
67,40.37388,-3.65767,
68,40.3738,-3.65773,
69,40.37351,-3.65788,
70,40.37287,-3.6582,
71,40.37278,-3.65825,
72,40.37297,-3.65881,
73,40.37299,-3.6589,
74,40.37302,-3.65898,
75,40.37324,-3.65963,
76,40.37335,-3.65957,
77,40.37375,-3.65934,
78,40.37395,-3.65922,
79,40.37412,-3.65913,
80,40.37425,-3.65905,
81,40.37435,-3.65937,
82,40.3744,-3.6595,
83,40.37446,-3.65969,
84,40.37452,-3.65987,
85,40.37459,-3.66007,
86,40.37469,-3.66036,
87,40.37482,-3.66077,
88,40.37495,-3.66115,
89,40.37496,-3.66118,
90,40.37497,-3.66122,
91,40.37499,-3.66127,
92,40.37501,-3.66131,
93,40.37504,-3.66137,
94,40.37555,-3.66089,
95,40.37575,-3.66069,
96,40.37597,-3.66048,
97,40.376,-3.66045,
98,40.37602,-3.66041,
99,40.37603,-3.66039,
100,40.37604,-3.66038,
101,40.37605,-3.66036,
102,40.37607,-3.66033,
103,40.3761,-3.66028,
104,40.37613,-3.66021,
105,40.37616,-3.66013,
106,40.37619,-3.66006,
107,40.3762,-3.65998,
108,40.37626,-3.65993,
109,40.37632,-3.65989,
110,40.37644,-3.65981,
111,40.37652,-3.65976,
112,40.37653,-3.65976,
113,40.37655,-3.65975,
114,40.37656,-3.65976,
115,40.37658,-3.65977,
116,40.37659,-3.65978,
117,40.3766,-3.65979,
118,40.37661,-3.65981,
119,40.37662,-3.65983,
120,40.37662,-3.65984,
121,40.37663,-3.65987,
122,40.37663,-3.65989,
123,40.37663,-3.65991,
124,40.37663,-3.65994,
125,40.37663,-3.65996,
126,40.37662,-3.65998,
127,40.37661,-3.65999,
128,40.3766,-3.66001,
129,40.37659,-3.66002,
130,40.37657,-3.66003,
131,40.37663,-3.66026,
132,40.37665,-3.66036,
133,40.37668,-3.66047,
134,40.37668,-3.66048,
135,40.37668,-3.66049,
136,40.37668,-3.66051,
137,40.37668,-3.66053,
138,40.3767,-3.66059,
139,40.37685,-3.66105,
140,40.37689,-3.66117,
141,40.37692,-3.66125,
142,40.37701,-3.66149,
143,40.37706,-3.66163,
144,40.37709,-3.66172,
145,40.37731,-3.66223,
146,40.37735,-3.66232,
147,40.37741,-3.66246,
148,40.37759,-3.66288,
149,40.37762,-3.66293,
150,40.37769,-3.66307,
151,40.37776,-3.6632,
152,40.37779,-3.66327,
153,40.37806,-3.66379,
154,40.37813,-3.66392,
155,40.37827,-3.66418,
156,40.3784,-3.6644,
157,40.37846,-3.6645,
158,40.37855,-3.66464,
159,40.37867,-3.66483,
160,40.3787,-3.66487,
161,40.37885,-3.6651,
162,40.37896,-3.66527,
163,40.37908,-3.66545,
164,40.37894,-3.66566,
165,40.37886,-3.66578,
166,40.37864,-3.66611,
167,40.37851,-3.66632,
168,40.37844,-3.66644,
169,40.37821,-3.66678,
170,40.37817,-3.66686,
171,40.378,-3.66711,
172,40.37779,-3.66742,
173,40.37754,-3.66781,
174,40.37748,-3.66791,
175,40.37727,-3.66824,
176,40.37705,-3.66859,
177,40.37687,-3.66839,
178,40.37685,-3.66837,
179,40.37673,-3.66824,
180,40.37666,-3.66816,
181,40.37646,-3.66796,
182,40.37645,-3.66794,
183,40.37624,-3.66771,
184,40.3761,-3.66756,
185,40.37582,-3.66726,
186,40.37545,-3.66684,
187,40.37522,-3.66659,
188,40.37503,-3.6664,
189,40.37491,-3.66627,
190,40.37469,-3.66605,
191,40.37428,-3.6656,
192,40.37409,-3.66539,
193,40.37389,-3.66517,
194,40.37371,-3.66498,
195,40.37347,-3.66472,
196,40.37328,-3.66451,
197,40.37323,-3.66452,
198,40.37321,-3.66453,
199,40.3732,-3.66454,
200,40.37318,-3.66455,
201,40.37316,-3.66457,
202,40.37315,-3.66458,
203,40.37314,-3.6646,
204,40.3731,-3.66467,
205,40.3732,-3.6651,
206,40.37326,-3.66541,
207,40.37331,-3.66563,
